image,labels
frame/leaf_0.jpg, 1
frame/leaf_1.jpg, 1
frame/leaf_2.jpg, 1
frame/leaf_3.jpg, 1
frame/leaf_4.jpg, 1
frame/leaf_5.jpg, 1
frame/leaf_6.jpg, 1
frame/leaf_7.jpg, 1
frame/leaf_8.jpg, 1
frame/leaf_0.jpg, 1
frame/leaf_1.jpg, 1
frame/leaf_2.jpg, 1
frame/leaf_3.jpg, 1
frame/leaf_4.jpg, 1
frame/leaf_5.jpg, 1
frame/leaf_0.jpg, 1
frame/leaf_1.jpg, 1
frame/leaf_2.jpg, 1
frame/leaf_3.jpg, 1
frame/leaf_4.jpg, 1
frame/leaf_5.jpg, 1
frame/leaf_6.jpg, 1
frame/leaf_7.jpg, 1
frame/leaf_8.jpg, 1
frame/leaf_9.jpg, 1
frame/leaf_10.jpg, 1
frame/leaf_11.jpg, 1
frame/leaf_12.jpg, 1
frame/leaf_13.jpg, 1
frame/leaf_14.jpg, 1
frame/leaf_15.jpg, 1
frame/leaf_16.jpg, 1
frame/leaf_17.jpg, 1
frame/leaf_18.jpg, 1
frame/leaf_19.jpg, 2
frame/leaf_20.jpg, 2
frame/leaf_21.jpg, 2
frame/leaf_22.jpg, 2
frame/leaf_23.jpg, 2
frame/leaf_24.jpg, 2
frame/leaf_25.jpg, 2
frame/leaf_26.jpg, 2
frame/leaf_27.jpg, 2
frame/leaf_28.jpg, 2
frame/leaf_29.jpg, 2
frame/leaf_30.jpg, 2
frame/leaf_31.jpg, 2
frame/leaf_32.jpg, 2
frame/leaf_33.jpg, 2
frame/leaf_34.jpg, 2
frame/leaf_35.jpg, 2
frame/leaf_36.jpg, 3
frame/leaf_37.jpg, 3
frame/leaf_38.jpg, 3
frame/leaf_39.jpg, 3
frame/leaf_40.jpg, 3
frame/leaf_41.jpg, 3
frame/leaf_42.jpg, 3
frame/leaf_43.jpg, 3
frame/leaf_44.jpg, 3
frame/leaf_45.jpg, 3
frame/leaf_46.jpg, 3
frame/leaf_47.jpg, 3
frame/leaf_48.jpg, 3
frame/leaf_49.jpg, 3
frame/leaf_50.jpg, 3
frame/leaf_51.jpg, 3
frame/leaf_52.jpg, 3
frame/leaf_53.jpg, 3
frame/leaf_54.jpg, 3
